Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Geo_Location,Region,Collection_Date
MN921504.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN26427*,Orthoflavivirus denguei,1625,China,Guangdong,27/10/2019
MN921505.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN26428*,Orthoflavivirus denguei,1625,China,Guangdong,26/10/2019
MN921506.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN26429,Orthoflavivirus denguei,1625,China,Guangdong,25/10/2019
MN921507.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN26775*,Orthoflavivirus denguei,1625,China,Guangdong,28/10/2019
MN921508.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN26777*,Orthoflavivirus denguei,1625,China,Guangdong,28/10/2019
MN921509.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN26778*,Orthoflavivirus denguei,1625,China,Guangdong,31/10/2019
MN921510.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN26816*,Orthoflavivirus denguei,1625,China,Guangdong,31/10/2019
MN921511.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN26818,Orthoflavivirus denguei,1625,China,Guangdong,31/10/2019
MN921512.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN26819*,Orthoflavivirus denguei,1625,China,Guangdong,01/11/2019
MN921513.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN26902*,Orthoflavivirus denguei,1625,China,Guangdong,30/10/2019
MN921514.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27020*,Orthoflavivirus denguei,1625,China,Guangdong,04/11/2019
MN921515.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27021*,Orthoflavivirus denguei,1625,China,Guangdong,01/11/2019
MN921516.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27023*,Orthoflavivirus denguei,1624,China,Guangdong,04/11/2019
MN921517.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27138*,Orthoflavivirus denguei,1625,China,Guangdong,04/11/2019
MN921518.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27139,Orthoflavivirus denguei,1625,China,Guangdong,01/11/2019
MN921519.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27219*,Orthoflavivirus denguei,1625,China,Guangdong,06/11/2019
MN921520.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27220*,Orthoflavivirus denguei,1625,China,Guangdong,02/11/2019
MN921521.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27221*,Orthoflavivirus denguei,1625,China,Guangdong,06/11/2019
MN921522.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27317*,Orthoflavivirus denguei,1625,China,Guangdong,07/11/2019
MN921523.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27375*,Orthoflavivirus denguei,1625,China,Guangdong,07/11/2019
MN921524.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27376,Orthoflavivirus denguei,1625,China,Guangdong,05/11/2019
MN921525.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27377*,Orthoflavivirus denguei,1625,China,Guangdong,01/11/2019
MN921526.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27378*,Orthoflavivirus denguei,1615,China,Guangdong,01/11/2019
MN921527.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27397*,Orthoflavivirus denguei,1625,China,Guangdong,08/11/2019
MN921528.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27400*,Orthoflavivirus denguei,1625,China,Guangdong,09/11/2019
MN921529.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27404*,Orthoflavivirus denguei,1625,China,Guangdong,11/11/2019
MN921530.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27532*,Orthoflavivirus denguei,1617,China,Guangdong,12/11/2019
MN921531.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27533,Orthoflavivirus denguei,1619,China,Guangdong,12/11/2019
MN921532.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27535*,Orthoflavivirus denguei,1616,China,Guangdong,07/11/2019
MN921533.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27571,Orthoflavivirus denguei,1605,China,Guangdong,07/11/2019
MN921534.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27586*,Orthoflavivirus denguei,1617,China,Guangdong,11/11/2019
MN921535.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27587*,Orthoflavivirus denguei,1618,China,Guangdong,11/11/2019
MN921536.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27588*,Orthoflavivirus denguei,1604,China,Guangdong,12/11/2019
MN921537.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27683*,Orthoflavivirus denguei,1625,China,Guangdong,12/11/2019
MN921538.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27684*,Orthoflavivirus denguei,1625,China,Guangdong,12/11/2019
MN921539.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27687,Orthoflavivirus denguei,1625,China,Guangdong,12/11/2019
MN921541.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN27702*,Orthoflavivirus denguei,1625,China,Guangdong,09/11/2019
MN921542.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN28039*,Orthoflavivirus denguei,1625,China,Guangdong,12/11/2019
MN921543.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN28056,Orthoflavivirus denguei,1625,China,Guangdong,12/11/2019
MN921544.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN28257*,Orthoflavivirus denguei,1625,China,Guangdong,11/11/2019
MN921545.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN28258,Orthoflavivirus denguei,1625,China,Guangdong,16/11/2019
MN921546.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN28421*,Orthoflavivirus denguei,1625,China,Guangdong,19/11/2019
MN921547.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN28487*,Orthoflavivirus denguei,1625,China,Guangdong,20/11/2019
MN921548.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN28563*,Orthoflavivirus denguei,1625,China,Guangdong,20/11/2019
MN921549.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN28564*,Orthoflavivirus denguei,1625,China,Guangdong,20/11/2019
MN921550.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN28872*,Orthoflavivirus denguei,1625,China,Guangdong,24/11/2019
MN921551.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN28874,Orthoflavivirus denguei,1625,China,Guangdong,24/11/2019
MN921552.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN29019,Orthoflavivirus denguei,1625,China,Guangdong,24/11/2019
MN921553.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN29058,Orthoflavivirus denguei,1625,China,Guangdong,24/11/2019
MN921554.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN29818*,Orthoflavivirus denguei,1625,China,Guangdong,05/12/2019
MN921555.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN29819*,Orthoflavivirus denguei,1625,China,Guangdong,27/11/2019
MN921556.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50500,Orthoflavivirus denguei,1625,China,Guangdong,27/05/2019
MN921557.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50542,Orthoflavivirus denguei,1625,China,Guangdong,14/06/2019
MN921558.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50553,Orthoflavivirus denguei,1625,China,Guangdong,18/06/2019
MN921559.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50560,Orthoflavivirus denguei,1625,China,Guangdong,08/06/2019
MN921560.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50574*,Orthoflavivirus denguei,1625,China,Guangdong,28/06/2019
MN921561.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50601,Orthoflavivirus denguei,1625,China,Guangdong,12/07/2019
MN921563.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50608*,Orthoflavivirus denguei,1625,China,Guangdong,27/07/2019
MN921564.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50659,Orthoflavivirus denguei,1625,China,Guangdong,17/07/2019
MN921565.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50660*,Orthoflavivirus denguei,1625,China,Guangdong,17/07/2019
MN921566.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50681*,Orthoflavivirus denguei,1625,China,Guangdong,30/07/2019
MN921567.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50687,Orthoflavivirus denguei,1619,China,Guangdong,09/08/2019
MN921568.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50688*,Orthoflavivirus denguei,1625,China,Guangdong,08/08/2019
MN921569.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50696,Orthoflavivirus denguei,1617,China,Guangdong,10/08/2019
MN921570.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50749*,Orthoflavivirus denguei,1617,China,Guangdong,12/08/2019
MN921571.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50752*,Orthoflavivirus denguei,1622,China,Guangdong,16/08/2019
MN921572.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50753*,Orthoflavivirus denguei,1617,China,Guangdong,15/08/2019
MN921573.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50787*,Orthoflavivirus denguei,1625,China,Guangdong,23/08/2019
MN921574.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50789*,Orthoflavivirus denguei,1625,China,Guangdong,20/08/2019
MN921575.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50794*,Orthoflavivirus denguei,1619,China,Guangdong,23/08/2019
MN921576.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50808*,Orthoflavivirus denguei,1625,China,Guangdong,25/08/2019
MN921577.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50813*,Orthoflavivirus denguei,1616,China,Guangdong,26/08/2019
MN921578.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50815*,Orthoflavivirus denguei,1625,China,Guangdong,27/08/2019
MN921579.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50816*,Orthoflavivirus denguei,1617,China,Guangdong,31/08/2019
MN921580.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50818*,Orthoflavivirus denguei,1625,China,Guangdong,27/08/2019
MN921581.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50841*,Orthoflavivirus denguei,1625,China,Guangdong,12/09/2019
MN921582.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50843*,Orthoflavivirus denguei,1625,China,Guangdong,13/09/2019
MN921583.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50845*,Orthoflavivirus denguei,1619,China,Guangdong,08/09/2019
MN921584.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50848*,Orthoflavivirus denguei,1619,China,Guangdong,08/09/2019
MN921585.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50849*,Orthoflavivirus denguei,1625,China,Guangdong,07/09/2019
MN921586.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50850*,Orthoflavivirus denguei,1619,China,Guangdong,07/09/2019
MN921587.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50851*,Orthoflavivirus denguei,1149,China,Guangdong,12/09/2019
MN921588.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50852,Orthoflavivirus denguei,1617,China,Guangdong,11/09/2019
MN921589.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50853*,Orthoflavivirus denguei,1617,China,Guangdong,10/09/2019
MN921590.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50854*,Orthoflavivirus denguei,1618,China,Guangdong,10/09/2019
MN921591.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50855*,Orthoflavivirus denguei,1617,China,Guangdong,08/09/2019
MN921592.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50856*,Orthoflavivirus denguei,1617,China,Guangdong,13/09/2019
MN921593.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50857*,Orthoflavivirus denguei,1619,China,Guangdong,12/09/2019
MN921594.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50858*,Orthoflavivirus denguei,1619,China,Guangdong,13/09/2019
MN921595.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50859*,Orthoflavivirus denguei,1599,China,Guangdong,08/09/2019
MN921596.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50890,Orthoflavivirus denguei,1619,China,Guangdong,19/09/2019
MN921597.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50901*,Orthoflavivirus denguei,1625,China,Guangdong,19/09/2019
MN921598.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50904*,Orthoflavivirus denguei,1625,China,Guangdong,19/09/2019
MN921599.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50905*,Orthoflavivirus denguei,1619,China,Guangdong,16/09/2019
MN921600.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50907*,Orthoflavivirus denguei,1619,China,Guangdong,21/09/2019
MN921601.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50908*,Orthoflavivirus denguei,1625,China,Guangdong,19/09/2019
MN921602.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50909*,Orthoflavivirus denguei,1151,China,Guangdong,22/09/2019
MN921603.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN50981*,Orthoflavivirus denguei,1625,China,Guangdong,24/09/2019
MN921604.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51000*,Orthoflavivirus denguei,1625,China,Guangdong,30/09/2019
MN921605.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51001*,Orthoflavivirus denguei,1625,China,Guangdong,26/09/2019
MN921606.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51002*,Orthoflavivirus denguei,1625,China,Guangdong,25/09/2019
MN921607.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51005*,Orthoflavivirus denguei,1625,China,Guangdong,23/09/2019
MN921608.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51008*,Orthoflavivirus denguei,1625,China,Guangdong,30/09/2019
MN921609.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51009*,Orthoflavivirus denguei,1625,China,Guangdong,29/09/2019
MN921610.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51011*,Orthoflavivirus denguei,1625,China,Guangdong,27/09/2019
MN921611.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51012*,Orthoflavivirus denguei,1625,China,Guangdong,28/09/2019
MN921612.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51020,Orthoflavivirus denguei,1625,China,Guangdong,29/09/2019
MN921613.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51026,Orthoflavivirus denguei,1625,China,Guangdong,01/10/2019
MN921614.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51028*,Orthoflavivirus denguei,1625,China,Guangdong,02/10/2019
MN921615.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51033*,Orthoflavivirus denguei,1625,China,Guangdong,29/09/2019
MN921616.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51066*,Orthoflavivirus denguei,1625,China,Guangdong,04/10/2019
MN921617.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51077*,Orthoflavivirus denguei,1618,China,Guangdong,05/10/2019
MN921618.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51080*,Orthoflavivirus denguei,1625,China,Guangdong,07/10/2019
MN921619.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51082*,Orthoflavivirus denguei,1625,China,Guangdong,04/10/2019
MN921620.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51083*,Orthoflavivirus denguei,1625,China,Guangdong,03/10/2019
MN921621.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51084*,Orthoflavivirus denguei,1603,China,Guangdong,05/10/2019
MN921622.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51089*,Orthoflavivirus denguei,1625,China,Guangdong,13/10/2019
MN921623.1,dengue virus type I,"Su,W., Jiang,L., Cao,Y.","Guangzhou Center for Disease Control and Prevention, Derpartment of Virology and Immunity",China,15/01/2020,19XN51090*,Orthoflavivirus denguei,1625,China,Guangdong,10/10/2019
